250 The Shattered Star	Late October 1989  
249	The Dane Curse	Early October 1989	   
248	The Cradle Will Fall!	September 1989	   
247	The Light That Failed	August 1989	   
246	The Day of Other Lights!	July 1989	   
245	Men!	June 1989	   
244	Ladies' Night	May 1989	   
243	Ashes	Inferno (Marvel)	April 1989	   
242	Burn!	Inferno (Marvel)	March 1989	   
241	Fan The Flames	Inferno (Marvel)	February 1989	   
240	Strike the Match	Inferno (Marvel)	January 1989	   
239	Vanities	Inferno (Marvel)	December 1988	   
238	Gonna Be a Revolution		Late November 1988	   
237	Who's Human?		Early November 1988	   
236	Busting Loose!		Late October 1988	   
235	Welcome to Genosha... a Green and Pleasent Land...		Early October 1988	   
234	Glory Day	The Brood	Late September 1988	   
233	Dawn of Blood	The Brood	Early September 1988	   
232	Earthfall	The Brood	August 1988	   
231	...Dressed for Dinner!		July 1988	   
230	'Twas the Night...		June 1988	   
229	Down Under		May 1988	   
228	Deadly Games!		April 1988	   
227	The Belly of the Beast!	The Fall of the Mutants	March 1988	   
226	Go Tell the Spartans	The Fall of the Mutants	February 1988	   
225	False Dawn!	The Fall of the Mutants	January 1988	   
224	The Dark Before the Dawn		December 1987	   
223	Omens & Portents		November 1987	   
222	Heartbreak!		October 1987	   
221	Death by Drowning!		September 1987	   
220	Unfinished Business		August 1987	   
219	Where Duty Lies		July 1987	   
218	Charge of the Light Brigade		June 1987	   
217	Folly's Gambit		May 1987	   
216	Crucible		April 1987	   
215	Old Soldiers		March 1987	   
214	With Malice Toward All!		February 1987	   
213	Psylocke	Mutant Massacre	January 1987	   
212	The Last Run	Mutant Massacre	December 1986	   
211	Massacre	Mutant Massacre	November 1986	   
210	The Morning After	Mutant Massacre	October 1986	   
209	Salvation		September 1986	   
208	Retribution		August 1986	   
207	Ghosts		July 1986	   
206	Freedom is a Four Letter Word!		June 1986	   
205	Wounded Wolf		May 1986	   
204	What Happened to Nightcrawler?		April 1986	   
203	Crossroads	Secret Wars II	March 1986	   
202	X-Men... I've Gone to Kill -- The Beyonder!	Secret Wars II	February 1986	   
201	Duel		January 1986	   
200	The Trial of Magneto!		December 1985	   
199	The Spiral Path		November 1985	   
198	Lifedeath: From the Heart of Darkness		October 1985	   
197	To Save Arcade?!?		September 1985	   
196	What Was That?	Secret Wars II	August 1985	   
195	It Was A Dark and Stormy Night...!		July 1985	   
194	Juggernaut's Back in Town		June 1985	   
193	Warhunt 2		May 1985	   
192	Fun 'N' Games		April 1985	   
191	Raiders of the Lost Temple!		March 1985	   
190	An Age Undreamed Of		February 1985	   
189	Two Girls Out To Have Fun!		January 1985	   
188	Legacy of the Lost	Wraith War Rom The Final Battle	December 1984   
187	Wraithkill!	Wraith War Rom The Final Battle	November 1984
186	Lifedeath	Wraith War	October 1984	   
185	Public Enemy!	Wraith War	September 1984	   
184	The Past... of Future Days		August 1984	   
183	He'll Never Make Me Cry		July 1984	   
182	Madness		June 1984	   
181	Tokyo Story	Secret Wars (1984-85)	May 1984	   
180	Whose Life Is It, Anyway?	Secret Wars (1984-85)	April 1984	   
179	What Happened to Kitty?	Secret Wars (1984-85)	March 1984	   
178	Hell Hath No Fury...	Secret Wars (1984-85)	February 1984	   
177	Sanction		January 1984	   
176	Decisions		December 1983	   
